drug_id,alpha1_composition,alpha2_composition,alpha1_source,alpha2_source,metric,unit,same_beta_gamma,same_reference_or_assay,alpha1_species,alpha2_species,alpha1_value,alpha2_value,tier,alpha1_evidence_id,alpha2_evidence_id
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,True,Homo sapiens,Homo sapiens,12.0,6.6,3,chembl:39,chembl:40
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,20.0,3,chembl:39,chembl:64
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,20.0,3,chembl:39,chembl:69
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,26.2,3,chembl:39,chembl:76
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,89.0,4,chembl:39,chembl:77
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,False,Homo sapiens,Rattus norvegicus,12.0,20.0,4,chembl:39,chembl:98
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,6.6,3,chembl:39,chembl:157
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,138.0,4,chembl:39,chembl:161
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,6.6,3,chembl:39,chembl:167
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,33.0,3,chembl:39,chembl:174
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,20.0,3,chembl:39,chembl:182
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,115.0,4,chembl:39,chembl:185
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,508.0,4,chembl:39,chembl:191
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,35.0,4,chembl:39,chembl:195
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,177.0,4,chembl:39,chembl:200
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,22.0,3,chembl:39,chembl:214
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,212.67,4,chembl:39,chembl:217
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Ki,nM,True,False,Homo sapiens,Homo sapiens,12.0,20.0,2,chembl:39,chembl:230
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Rattus norvegicus,12.0,7.0,4,chembl:39,chembl:231
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Rattus norvegicus,12.0,39.0,4,chembl:39,chembl:232
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Rattus norvegicus,12.0,15.0,4,chembl:39,chembl:233
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Rattus norvegicus,12.0,81.0,4,chembl:39,chembl:234
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Rattus norvegicus,12.0,20.0,4,chembl:39,chembl:236
diazepam,alpha1/beta2/gamma2,alpha2,ChEMBL,ChEMBL,Ki,nM,False,False,Homo sapiens,Homo sapiens,12.0,17.0,3,chembl:39,chembl:253
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,True,Homo sapiens,Homo sapiens,157.0,6.6,4,chembl:42,chembl:40
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,20.0,4,chembl:42,chembl:64
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,20.0,4,chembl:42,chembl:69
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,26.2,4,chembl:42,chembl:76
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,89.0,3,chembl:42,chembl:77
diazepam,alpha1/beta2/gamma2,alpha2/beta2/gamma2,ChEMBL,ChEMBL,Efficacy,%,True,False,Homo sapiens,Rattus norvegicus,157.0,20.0,4,chembl:42,chembl:98
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,6.6,4,chembl:42,chembl:157
diazepam,alpha1/beta2/gamma2,alpha2/beta3/gamma2,ChEMBL,ChEMBL,Efficacy,%,False,False,Homo sapiens,Homo sapiens,157.0,138.0,3,chembl:42,chembl:161
